date,time,product_name,category,price,quantity,total,region,sales_type,payment_method,customer_type,discount,profit
01-01-2026,19:39:59,Wallet,Accessories,2096,1,2059,Mumbai,Offline,UPI,New,37,527
01-01-2026,20:02:43,Jeans,Fashion,2777,4,10630,Mumbai,Online,UPI,New,478,3919
01-01-2026,21:51:04,Shirt,Fashion,4594,5,20738,Hyderabad,Offline,UPI,Returning,2232,6551
01-01-2026,18:19:07,Backpack,Accessories,1531,2,2751,Mumbai,Offline,UPI,New,311,636
01-01-2026,21:46:22,Keyboard,Electronics,92724,1,85676,Bangalore,Online,Card,Returning,7048,33610
01-01-2026,13:34:56,Sandwich,Food,290,4,1123,Hyderabad,Online,Cash,Returning,37,334
01-01-2026,18:50:05,Pasta,Food,106,5,489,Pune,Offline,Card,Returning,41,159
02-01-2026,14:43:46,Belt,Accessories,1974,1,1641,Hyderabad,Online,UPI,New,333,420
02-01-2026,12:46:37,Smartphone,Electronics,35359,4,119205,Mumbai,Offline,Cash,Returning,22231,25361
02-01-2026,20:21:59,Biryani,Food,152,1,126,Delhi,Offline,Card,New,26,38
02-01-2026,20:13:46,Sneakers,Fashion,2942,1,2886,Pune,Online,Card,Returning,56,821
02-01-2026,12:43:27,Flour,Grocery,919,1,886,Mumbai,Online,UPI,New,33,276
02-01-2026,21:53:25,Headphones,Electronics,5387,2,9697,Mumbai,Offline,UPI,Returning,1077,2784
02-01-2026,12:38:27,Sandwich,Food,479,1,391,Pune,Offline,Card,Returning,88,107
02-01-2026,14:31:12,Laptop,Electronics,66485,4,258613,Bangalore,Offline,Cash,New,7327,64144
02-01-2026,12:23:11,Burger,Food,214,1,177,Bangalore,Online,Cash,New,37,60
02-01-2026,12:42:24,Jeans,Fashion,1176,1,1074,Bangalore,Online,Card,New,102,371
02-01-2026,14:41:27,Jacket,Fashion,3391,4,11272,Bangalore,Offline,Card,Returning,2292,3693
02-01-2026,21:55:35,Jeans,Fashion,1007,4,3403,Pune,Offline,Card,Returning,625,815
02-01-2026,18:13:11,Sunglasses,Accessories,862,5,4243,Mumbai,Offline,Card,Returning,67,1367
02-01-2026,14:50:38,Smartphone,Electronics,30373,1,28620,Bangalore,Online,Cash,New,1753,10542
03-01-2026,21:28:11,Jacket,Fashion,2224,2,3913,Pune,Online,Cash,New,535,1136
03-01-2026,21:11:14,Backpack,Accessories,2792,1,2284,Hyderabad,Online,UPI,New,508,628
03-01-2026,20:52:38,Shirt,Fashion,1737,4,6602,Bangalore,Online,Cash,Returning,346,2169
03-01-2026,14:14:45,Backpack,Accessories,305,1,266,Delhi,Offline,UPI,Returning,39,95
03-01-2026,20:22:25,Jeans,Fashion,1806,2,3561,Delhi,Online,Card,Returning,51,797
03-01-2026,13:36:59,Rice,Grocery,956,2,1819,Mumbai,Offline,Cash,New,93,670
03-01-2026,14:23:39,Vegetables,Grocery,288,1,261,Hyderabad,Offline,UPI,New,27,66
03-01-2026,13:22:25,Shirt,Fashion,3558,5,14385,Pune,Online,UPI,Returning,3405,4447
03-01-2026,21:03:12,Burger,Food,365,3,1058,Delhi,Offline,Card,Returning,37,268
03-01-2026,18:45:43,Jacket,Fashion,3095,1,2851,Delhi,Online,UPI,Returning,244,722
04-01-2026,13:37:33,Sunglasses,Accessories,1292,2,2072,Mumbai,Offline,Cash,Returning,512,428
04-01-2026,21:44:07,Sandwich,Food,245,2,419,Bangalore,Offline,Cash,New,71,158
04-01-2026,18:15:54,Belt,Accessories,1982,1,1588,Pune,Offline,UPI,Returning,394,352
04-01-2026,21:47:00,Shirt,Fashion,1144,3,3295,Bangalore,Offline,UPI,Returning,137,751
04-01-2026,18:54:36,Watch,Accessories,2623,2,5206,Mumbai,Online,Cash,New,40,1495
04-01-2026,13:48:41,Jeans,Fashion,1890,3,4828,Bangalore,Online,UPI,New,842,1585
04-01-2026,12:15:16,Biryani,Food,215,1,198,Hyderabad,Offline,Card,New,17,66
04-01-2026,13:29:08,Backpack,Accessories,1449,4,5304,Delhi,Offline,Card,New,492,1527
04-01-2026,13:36:36,Shirt,Fashion,4355,5,21500,Pune,Offline,UPI,Returning,275,7111
04-01-2026,19:27:18,Sunglasses,Accessories,1742,3,5198,Pune,Offline,Card,Returning,28,1189
05-01-2026,18:03:20,Flour,Grocery,765,3,2124,Hyderabad,Online,UPI,Returning,171,697
05-01-2026,13:38:37,Belt,Accessories,1911,5,8013,Hyderabad,Offline,Cash,New,1542,1846
05-01-2026,21:05:05,Belt,Accessories,654,2,1294,Pune,Offline,Card,Returning,14,474
05-01-2026,20:24:38,Oil,Grocery,510,5,2416,Pune,Offline,UPI,New,134,769
05-01-2026,14:13:33,Shirt,Fashion,4710,4,15978,Bangalore,Offline,Card,New,2862,4632
05-01-2026,21:40:21,Wallet,Accessories,919,1,761,Mumbai,Online,Cash,New,158,248
05-01-2026,19:12:01,Headphones,Electronics,97043,4,378308,Hyderabad,Online,Cash,New,9864,110525
05-01-2026,21:40:35,Headphones,Electronics,65542,3,187358,Delhi,Offline,UPI,Returning,9268,52695
05-01-2026,13:02:19,Sneakers,Fashion,1086,5,4828,Delhi,Online,Cash,New,602,1125
05-01-2026,14:13:56,Keyboard,Electronics,88742,3,245817,Bangalore,Offline,UPI,New,20409,76093
05-01-2026,21:02:18,Flour,Grocery,661,3,1743,Mumbai,Offline,Cash,New,240,425
05-01-2026,14:00:30,Vegetables,Grocery,451,1,441,Bangalore,Online,Card,New,10,133
05-01-2026,20:37:03,Vegetables,Grocery,981,5,4504,Delhi,Online,Cash,Returning,401,1093
06-01-2026,20:25:28,Jeans,Fashion,3292,5,16273,Delhi,Offline,UPI,New,187,4022
06-01-2026,19:20:05,Oil,Grocery,276,4,915,Mumbai,Online,Card,New,189,307
06-01-2026,18:06:53,Oil,Grocery,165,5,753,Bangalore,Online,Cash,New,72,174
06-01-2026,18:48:45,Sneakers,Fashion,1361,1,1252,Mumbai,Online,UPI,New,109,261
06-01-2026,20:26:11,Pasta,Food,384,1,348,Delhi,Offline,Card,New,36,92
07-01-2026,20:35:52,Shirt,Fashion,667,3,1922,Pune,Online,UPI,Returning,79,597
07-01-2026,12:06:17,Watch,Accessories,2091,5,8864,Hyderabad,Offline,Card,Returning,1591,2734
07-01-2026,14:56:22,Burger,Food,316,4,1184,Bangalore,Offline,Cash,Returning,80,447
07-01-2026,19:52:20,Burger,Food,286,2,480,Pune,Online,UPI,Returning,92,178
07-01-2026,18:52:23,Sandwich,Food,405,5,1753,Bangalore,Offline,UPI,New,272,535
07-01-2026,12:17:49,Smartphone,Electronics,33332,1,32181,Delhi,Offline,Card,New,1151,11320
08-01-2026,20:15:23,Keyboard,Electronics,89945,4,307743,Bangalore,Online,UPI,New,52037,111236
08-01-2026,20:35:45,Sneakers,Fashion,1120,1,954,Hyderabad,Offline,Cash,Returning,166,372
08-01-2026,19:42:48,Biryani,Food,303,1,267,Hyderabad,Offline,UPI,Returning,36,62
08-01-2026,13:45:41,Sandwich,Food,490,2,904,Mumbai,Online,Card,New,76,356
08-01-2026,14:01:35,Laptop,Electronics,96973,1,92783,Pune,Online,Cash,New,4190,21839
08-01-2026,14:52:12,Sandwich,Food,176,3,429,Pune,Offline,Card,New,99,137
08-01-2026,19:05:46,Rice,Grocery,868,5,3562,Bangalore,Online,UPI,Returning,778,1183
08-01-2026,20:26:47,Oil,Grocery,85,4,316,Hyderabad,Online,Cash,New,24,81
08-01-2026,13:29:33,Burger,Food,321,3,797,Mumbai,Offline,Cash,Returning,166,213
08-01-2026,20:53:12,Jacket,Fashion,4010,1,3514,Delhi,Online,Card,New,496,809
08-01-2026,18:35:16,Sneakers,Fashion,3782,4,14556,Bangalore,Online,Cash,Returning,572,3746
08-01-2026,20:27:16,TV,Electronics,85687,3,239207,Delhi,Offline,UPI,Returning,17854,84462
08-01-2026,19:46:27,Wallet,Accessories,2575,5,12131,Mumbai,Online,Card,Returning,744,2809
08-01-2026,13:33:35,Smartphone,Electronics,55401,5,274752,Pune,Offline,Cash,New,2253,89406
08-01-2026,13:27:53,Jeans,Fashion,4847,1,4755,Hyderabad,Online,UPI,New,92,1379
09-01-2026,18:37:09,Sneakers,Fashion,2069,3,4984,Pune,Offline,Cash,New,1223,1808
09-01-2026,14:47:23,Belt,Accessories,297,1,295,Bangalore,Offline,Cash,New,2,103
09-01-2026,14:46:54,Vegetables,Grocery,130,1,115,Hyderabad,Online,UPI,New,15,36
09-01-2026,14:22:10,Wallet,Accessories,423,2,760,Delhi,Online,UPI,Returning,86,269
09-01-2026,18:16:09,Rice,Grocery,851,3,2166,Delhi,Offline,Card,Returning,387,622
09-01-2026,21:35:51,Rice,Grocery,195,2,359,Bangalore,Online,Card,New,31,77
09-01-2026,12:00:28,Wallet,Accessories,2441,2,4239,Mumbai,Offline,Cash,Returning,643,1618
09-01-2026,13:55:28,Jacket,Fashion,2447,2,3936,Mumbai,Offline,UPI,New,958,1131
09-01-2026,21:44:41,Headphones,Electronics,60211,3,165836,Hyderabad,Offline,UPI,New,14797,58664
09-01-2026,21:34:40,Biryani,Food,166,4,638,Pune,Offline,UPI,Returning,26,131
09-01-2026,19:18:23,Keyboard,Electronics,63589,5,286605,Hyderabad,Online,UPI,Returning,31340,84566
09-01-2026,12:01:49,Biryani,Food,486,5,2326,Delhi,Offline,UPI,New,104,493
10-01-2026,18:47:26,Laptop,Electronics,79069,3,234947,Pune,Offline,UPI,New,2260,54871
10-01-2026,19:26:06,Biryani,Food,459,5,2276,Pune,Online,Cash,New,19,511
10-01-2026,20:37:00,Jacket,Fashion,2143,4,7968,Bangalore,Offline,UPI,Returning,604,2061
10-01-2026,20:08:15,Oil,Grocery,141,1,121,Mumbai,Online,UPI,Returning,20,37
10-01-2026,19:56:10,Backpack,Accessories,688,1,655,Pune,Online,UPI,Returning,33,230
10-01-2026,13:20:34,Biryani,Food,166,4,581,Mumbai,Offline,Cash,New,83,218
10-01-2026,18:45:01,Jeans,Fashion,1248,2,2143,Hyderabad,Online,Card,Returning,353,442
10-01-2026,19:36:34,Jeans,Fashion,1340,3,3775,Mumbai,Offline,Cash,Returning,245,1167
10-01-2026,13:02:15,Laptop,Electronics,14025,3,36633,Pune,Offline,Cash,New,5442,13991
10-01-2026,18:12:20,Oil,Grocery,610,1,533,Bangalore,Online,Cash,Returning,77,179
11-01-2026,19:11:11,Jacket,Fashion,1657,3,4699,Mumbai,Offline,UPI,Returning,272,953
11-01-2026,13:36:30,Sunglasses,Accessories,2560,1,2060,Bangalore,Offline,Card,New,500,629
11-01-2026,19:01:28,Sunglasses,Accessories,2865,4,9507,Mumbai,Online,Cash,New,1953,1934
11-01-2026,21:48:05,Flour,Grocery,77,3,217,Bangalore,Offline,Card,New,14,62
11-01-2026,20:05:27,TV,Electronics,29879,4,104818,Delhi,Offline,UPI,New,14698,37819
11-01-2026,14:11:36,Biryani,Food,408,5,1655,Delhi,Online,Cash,New,385,406
11-01-2026,20:17:05,Keyboard,Electronics,7495,4,28506,Hyderabad,Online,Card,New,1474,6530
11-01-2026,19:38:11,Milk,Grocery,846,3,2446,Pune,Offline,Card,New,92,634
11-01-2026,18:25:13,T-shirt,Fashion,4759,2,8739,Mumbai,Offline,Card,Returning,779,2364
11-01-2026,12:24:22,T-shirt,Fashion,4802,4,15616,Mumbai,Online,Card,New,3592,4034
11-01-2026,19:06:02,Smartphone,Electronics,93409,2,159312,Mumbai,Online,Cash,Returning,27506,58910
11-01-2026,13:36:32,Backpack,Accessories,1189,4,4747,Bangalore,Online,UPI,New,9,1692
11-01-2026,21:18:23,Biryani,Food,491,2,796,Mumbai,Offline,Cash,New,186,175
11-01-2026,21:47:01,Shirt,Fashion,4114,5,17851,Hyderabad,Offline,Cash,Returning,2719,4550
12-01-2026,12:43:03,TV,Electronics,26961,1,24780,Delhi,Online,UPI,Returning,2181,5671
12-01-2026,18:23:39,Watch,Accessories,2575,1,2394,Hyderabad,Offline,Cash,Returning,181,600
12-01-2026,21:50:29,Keyboard,Electronics,14019,4,55085,Pune,Online,UPI,Returning,991,13493
12-01-2026,13:49:46,Watch,Accessories,1472,1,1286,Mumbai,Online,Card,New,186,364
12-01-2026,12:13:49,Backpack,Accessories,559,1,493,Mumbai,Online,UPI,Returning,66,143
12-01-2026,12:25:40,Rice,Grocery,310,2,594,Bangalore,Offline,Card,Returning,26,163
12-01-2026,21:45:21,Shirt,Fashion,3841,4,14400,Delhi,Online,Cash,Returning,964,4929
12-01-2026,12:45:39,Keyboard,Electronics,38320,3,103107,Pune,Offline,UPI,New,11853,25915
12-01-2026,13:16:49,Belt,Accessories,1088,5,4651,Delhi,Online,Cash,Returning,789,1684
13-01-2026,14:43:16,Headphones,Electronics,21009,2,36798,Hyderabad,Online,Cash,New,5220,10525
13-01-2026,13:25:11,Oil,Grocery,569,4,1926,Mumbai,Offline,UPI,New,350,760
13-01-2026,14:29:50,TV,Electronics,99358,4,396491,Mumbai,Offline,UPI,Returning,941,148701
13-01-2026,19:20:17,Laptop,Electronics,7118,2,12892,Bangalore,Online,Cash,Returning,1344,2943
13-01-2026,20:21:12,Jacket,Fashion,2795,4,10794,Mumbai,Offline,UPI,Returning,386,2492
13-01-2026,20:05:27,Wallet,Accessories,1742,1,1696,Delhi,Online,Card,Returning,46,677
13-01-2026,18:36:18,Flour,Grocery,312,4,1199,Hyderabad,Online,UPI,New,49,388
13-01-2026,14:12:54,Laptop,Electronics,67021,5,299071,Hyderabad,Online,UPI,New,36034,112656
13-01-2026,20:14:37,TV,Electronics,91569,2,155960,Mumbai,Offline,Cash,New,27178,38076
13-01-2026,19:29:20,Rice,Grocery,418,5,1915,Pune,Online,Cash,New,175,405
13-01-2026,13:30:02,Milk,Grocery,898,2,1456,Mumbai,Online,UPI,Returning,340,447
13-01-2026,18:40:59,T-shirt,Fashion,1869,5,9014,Bangalore,Online,Cash,Returning,331,2994
13-01-2026,21:00:22,T-shirt,Fashion,3764,2,6677,Bangalore,Offline,UPI,New,851,1965
14-01-2026,13:43:26,TV,Electronics,13661,3,40063,Delhi,Online,Card,Returning,920,9489
14-01-2026,21:25:23,Sandwich,Food,372,1,325,Delhi,Online,Cash,New,47,107
14-01-2026,13:40:56,Pasta,Food,280,5,1385,Bangalore,Online,Card,Returning,15,381
14-01-2026,14:40:25,T-shirt,Fashion,4723,2,8508,Pune,Offline,UPI,New,938,2610
14-01-2026,12:44:24,Rice,Grocery,806,2,1507,Mumbai,Offline,UPI,Returning,105,600
14-01-2026,20:48:42,Sandwich,Food,147,5,614,Hyderabad,Online,UPI,New,121,177
14-01-2026,12:03:21,Pizza,Food,121,2,230,Pune,Offline,Cash,New,12,73
14-01-2026,18:36:00,Jacket,Fashion,1030,5,4735,Mumbai,Online,Cash,New,415,1305
14-01-2026,19:32:07,Shirt,Fashion,722,4,2630,Hyderabad,Offline,Cash,Returning,258,642
14-01-2026,19:34:55,Sunglasses,Accessories,414,3,1059,Hyderabad,Online,Card,Returning,183,268
15-01-2026,21:49:30,Sandwich,Food,125,3,368,Pune,Offline,UPI,Returning,7,104
15-01-2026,13:41:45,Pizza,Food,379,5,1824,Bangalore,Online,Card,New,71,430
15-01-2026,21:08:48,Flour,Grocery,876,5,3903,Delhi,Online,Card,New,477,1463
15-01-2026,19:09:18,TV,Electronics,21576,2,38370,Mumbai,Online,Cash,Returning,4782,8960
15-01-2026,14:37:50,Milk,Grocery,918,3,2241,Delhi,Online,Cash,Returning,513,477
15-01-2026,13:07:47,Jacket,Fashion,1615,3,4767,Bangalore,Offline,UPI,Returning,78,1073
15-01-2026,21:53:23,Belt,Accessories,590,5,2760,Hyderabad,Online,Cash,Returning,190,835
15-01-2026,20:10:45,Laptop,Electronics,76609,4,255892,Bangalore,Online,Card,New,50544,81274
15-01-2026,14:04:32,T-shirt,Fashion,4957,1,4945,Mumbai,Offline,UPI,Returning,12,1802
16-01-2026,18:17:31,Backpack,Accessories,860,4,3241,Mumbai,Offline,Cash,New,199,1013
16-01-2026,21:20:49,Shirt,Fashion,2401,1,2089,Pune,Offline,Card,Returning,312,543
16-01-2026,18:59:50,Pasta,Food,218,2,405,Hyderabad,Online,Cash,Returning,31,81
16-01-2026,13:47:35,Sneakers,Fashion,2115,5,9895,Pune,Offline,UPI,New,680,3129
16-01-2026,21:36:16,Backpack,Accessories,691,3,2011,Pune,Offline,UPI,New,62,565
16-01-2026,20:22:06,Wallet,Accessories,2030,5,9447,Delhi,Online,Cash,Returning,703,3237
16-01-2026,20:31:11,Flour,Grocery,251,3,734,Mumbai,Offline,Card,New,19,150
16-01-2026,21:12:56,Sneakers,Fashion,1735,3,4477,Delhi,Online,Cash,New,728,1337
16-01-2026,18:16:10,Keyboard,Electronics,17526,1,14216,Mumbai,Online,Card,New,3310,4768
16-01-2026,19:56:55,Sunglasses,Accessories,2564,3,7399,Delhi,Offline,Card,New,293,2677
16-01-2026,14:19:42,Vegetables,Grocery,468,2,831,Hyderabad,Online,Card,New,105,247
16-01-2026,20:06:57,Wallet,Accessories,1742,4,6798,Pune,Online,Cash,Returning,170,2153
17-01-2026,20:45:29,Watch,Accessories,1847,5,8918,Mumbai,Offline,Card,Returning,317,2708
17-01-2026,13:10:16,Keyboard,Electronics,96157,4,315903,Bangalore,Offline,UPI,New,68725,121781
17-01-2026,19:08:06,Pizza,Food,498,1,411,Pune,Online,Card,New,87,94
17-01-2026,20:40:36,Pizza,Food,335,3,814,Bangalore,Offline,UPI,Returning,191,318
17-01-2026,21:59:29,Oil,Grocery,921,2,1785,Hyderabad,Offline,Cash,New,57,564
17-01-2026,13:01:21,Backpack,Accessories,2217,2,3712,Bangalore,Online,Card,Returning,722,1093
17-01-2026,20:51:25,Shirt,Fashion,912,5,4124,Mumbai,Offline,UPI,New,436,915
17-01-2026,14:10:45,Jacket,Fashion,3867,5,15724,Bangalore,Online,Card,New,3611,6255
17-01-2026,19:19:01,Biryani,Food,240,1,208,Mumbai,Offline,Card,Returning,32,79
17-01-2026,13:56:48,Pizza,Food,126,3,342,Bangalore,Offline,UPI,New,36,83
17-01-2026,12:43:50,Backpack,Accessories,2213,1,2097,Delhi,Online,Cash,Returning,116,434
17-01-2026,13:48:59,Burger,Food,229,5,1139,Bangalore,Online,UPI,New,6,345
17-01-2026,14:34:34,Pasta,Food,170,3,455,Pune,Online,UPI,Returning,55,99
17-01-2026,12:12:53,Vegetables,Grocery,773,1,648,Mumbai,Offline,Card,New,125,255
18-01-2026,12:22:34,Headphones,Electronics,14990,2,29925,Mumbai,Offline,Cash,New,55,7374
18-01-2026,18:24:18,Backpack,Accessories,629,4,2320,Delhi,Offline,UPI,New,196,731
18-01-2026,13:25:20,Pizza,Food,398,1,338,Pune,Online,UPI,New,60,132
18-01-2026,19:30:13,Headphones,Electronics,33655,4,127433,Pune,Offline,Cash,New,7187,45864
18-01-2026,14:42:03,Biryani,Food,423,3,1084,Delhi,Offline,Cash,New,185,370
18-01-2026,21:02:03,Laptop,Electronics,93226,4,339593,Delhi,Online,Cash,New,33311,70927
18-01-2026,14:01:25,Milk,Grocery,459,1,427,Mumbai,Offline,Card,New,32,87
18-01-2026,21:49:43,Vegetables,Grocery,197,3,482,Mumbai,Offline,Cash,New,109,177
18-01-2026,21:00:15,Jacket,Fashion,2471,2,4908,Bangalore,Offline,Card,Returning,34,1343
18-01-2026,13:35:44,TV,Electronics,99247,2,165403,Mumbai,Offline,UPI,Returning,33091,45328
18-01-2026,20:14:52,Milk,Grocery,962,3,2360,Hyderabad,Online,Cash,New,526,717
18-01-2026,14:09:19,Biryani,Food,395,4,1387,Delhi,Online,UPI,Returning,193,325
18-01-2026,14:06:36,Pasta,Food,134,4,488,Hyderabad,Online,UPI,New,48,184
18-01-2026,19:14:08,Headphones,Electronics,10480,1,9439,Pune,Offline,UPI,Returning,1041,3472
18-01-2026,12:52:49,Wallet,Accessories,492,2,959,Mumbai,Online,Cash,New,25,232
19-01-2026,20:16:30,Oil,Grocery,456,1,414,Bangalore,Online,Cash,Returning,42,159
19-01-2026,13:38:58,Vegetables,Grocery,889,2,1481,Bangalore,Offline,Card,Returning,297,579
19-01-2026,12:36:32,Jeans,Fashion,2425,4,8447,Bangalore,Offline,Card,New,1253,2938
19-01-2026,18:58:31,Pasta,Food,314,1,268,Pune,Offline,UPI,Returning,46,74
19-01-2026,12:12:16,Pasta,Food,223,1,210,Delhi,Offline,Card,Returning,13,53
19-01-2026,13:00:21,Sandwich,Food,427,2,807,Pune,Online,Cash,Returning,47,281
19-01-2026,21:10:48,TV,Electronics,60534,4,200773,Hyderabad,Offline,Cash,Returning,41363,60272
19-01-2026,20:35:47,Rice,Grocery,434,2,840,Delhi,Online,Cash,New,28,273
19-01-2026,12:42:17,Vegetables,Grocery,302,5,1211,Hyderabad,Online,Card,Returning,299,367
19-01-2026,13:11:04,Keyboard,Electronics,84372,3,206911,Hyderabad,Online,Cash,New,46205,68652
19-01-2026,14:27:34,Backpack,Accessories,1482,4,5384,Bangalore,Online,Card,New,544,1282
20-01-2026,13:26:41,Keyboard,Electronics,92620,1,81737,Delhi,Online,Card,Returning,10883,29513
20-01-2026,13:25:15,Jeans,Fashion,4228,2,7397,Pune,Online,Card,New,1059,2351
20-01-2026,20:08:57,Keyboard,Electronics,83257,3,206769,Mumbai,Offline,Cash,Returning,43002,42197
20-01-2026,18:28:01,Oil,Grocery,307,1,307,Bangalore,Offline,UPI,Returning,0,82
20-01-2026,18:20:11,Belt,Accessories,1941,5,8277,Bangalore,Offline,UPI,Returning,1428,2086
20-01-2026,20:05:41,Watch,Accessories,1907,5,8137,Pune,Offline,Card,Returning,1398,2270
20-01-2026,12:06:36,Flour,Grocery,100,4,368,Pune,Offline,UPI,New,32,99
20-01-2026,14:41:22,Jeans,Fashion,4600,2,8141,Hyderabad,Online,UPI,New,1059,3010
20-01-2026,18:40:33,Sunglasses,Accessories,1221,4,4067,Bangalore,Offline,UPI,Returning,817,920
21-01-2026,20:50:30,Oil,Grocery,765,5,3349,Delhi,Offline,UPI,New,476,737
21-01-2026,14:45:48,Sandwich,Food,415,2,798,Bangalore,Offline,Cash,Returning,32,239
21-01-2026,12:57:37,Sneakers,Fashion,1656,4,6262,Delhi,Online,Card,Returning,362,1987
21-01-2026,14:59:45,Belt,Accessories,264,1,245,Delhi,Offline,UPI,New,19,68
21-01-2026,20:58:49,Jacket,Fashion,4278,2,8038,Mumbai,Online,UPI,New,518,2197
21-01-2026,20:32:08,Sandwich,Food,190,2,369,Bangalore,Online,UPI,Returning,11,90
21-01-2026,12:21:07,Pizza,Food,181,2,303,Pune,Online,UPI,New,59,75
21-01-2026,19:52:09,Vegetables,Grocery,170,2,286,Delhi,Online,Card,New,54,103
22-01-2026,19:07:51,Watch,Accessories,2072,3,5859,Hyderabad,Offline,Card,New,357,1505
22-01-2026,13:07:47,Sandwich,Food,118,2,191,Bangalore,Online,Card,New,45,47
22-01-2026,19:20:41,Jacket,Fashion,2310,3,5604,Delhi,Offline,Cash,New,1326,1698
22-01-2026,13:21:44,T-shirt,Fashion,3452,5,14992,Delhi,Online,Cash,New,2268,4263
22-01-2026,19:36:46,Burger,Food,212,5,934,Bangalore,Online,Cash,Returning,126,230
22-01-2026,20:09:41,Sneakers,Fashion,2455,3,6793,Delhi,Online,Cash,New,572,1721
22-01-2026,12:31:59,Laptop,Electronics,13101,4,42268,Bangalore,Offline,Cash,New,10136,13300
22-01-2026,12:13:53,Headphones,Electronics,95276,4,324453,Mumbai,Online,UPI,New,56651,102704
22-01-2026,19:37:18,Burger,Food,379,4,1276,Delhi,Offline,Card,New,240,294
22-01-2026,12:38:36,Flour,Grocery,144,1,133,Pune,Offline,UPI,New,11,36
22-01-2026,14:37:15,T-shirt,Fashion,3018,1,2973,Mumbai,Offline,Cash,New,45,1162
22-01-2026,21:15:15,Headphones,Electronics,89465,1,88544,Hyderabad,Offline,Cash,New,921,21822
22-01-2026,19:09:54,Keyboard,Electronics,46245,2,92387,Bangalore,Online,Card,New,103,30668
23-01-2026,12:27:02,T-shirt,Fashion,1970,1,1732,Delhi,Offline,Cash,Returning,238,455
23-01-2026,12:55:18,Pasta,Food,274,5,1113,Delhi,Offline,Card,New,257,228
23-01-2026,19:23:10,Rice,Grocery,431,1,428,Mumbai,Online,UPI,New,3,151
23-01-2026,12:05:38,Shirt,Fashion,654,4,2607,Mumbai,Offline,Cash,Returning,9,581
23-01-2026,19:10:54,Sneakers,Fashion,3563,5,17236,Pune,Offline,UPI,New,579,6261
23-01-2026,18:47:34,Flour,Grocery,187,4,727,Hyderabad,Offline,Cash,Returning,21,255
24-01-2026,18:12:42,Keyboard,Electronics,63322,4,233658,Pune,Online,Card,Returning,19630,55388
24-01-2026,21:12:29,Oil,Grocery,993,5,4007,Bangalore,Offline,Cash,New,958,1502
24-01-2026,21:21:25,Wallet,Accessories,2785,2,5078,Hyderabad,Offline,UPI,New,492,1259
24-01-2026,20:25:48,Milk,Grocery,584,3,1679,Delhi,Online,Cash,Returning,73,480
24-01-2026,14:16:09,Backpack,Accessories,1389,4,5023,Hyderabad,Offline,UPI,Returning,533,1007
24-01-2026,12:40:13,Oil,Grocery,866,4,2967,Mumbai,Offline,Cash,Returning,497,606
24-01-2026,19:39:46,Keyboard,Electronics,38385,5,175269,Bangalore,Offline,UPI,Returning,16656,68563
24-01-2026,13:06:48,Pizza,Food,192,1,183,Pune,Offline,Card,New,9,71
24-01-2026,14:19:26,Vegetables,Grocery,981,3,2816,Delhi,Offline,Card,Returning,127,887
25-01-2026,12:42:36,Backpack,Accessories,2175,1,1820,Mumbai,Offline,Card,New,355,435
25-01-2026,14:45:45,Jacket,Fashion,2414,3,5872,Bangalore,Offline,UPI,New,1370,1344
25-01-2026,12:21:53,Milk,Grocery,86,5,347,Hyderabad,Offline,Card,Returning,83,93
25-01-2026,18:17:14,Sunglasses,Accessories,286,2,522,Bangalore,Offline,Card,New,50,122
25-01-2026,19:35:06,Pasta,Food,210,1,209,Mumbai,Online,Cash,New,1,77
25-01-2026,19:50:03,TV,Electronics,62757,4,237461,Hyderabad,Offline,Cash,New,13567,59810
25-01-2026,12:45:04,Jeans,Fashion,1275,5,5686,Delhi,Offline,Card,New,689,1508
25-01-2026,18:05:07,Pasta,Food,195,5,898,Mumbai,Online,Cash,Returning,77,273
25-01-2026,12:18:02,Pizza,Food,104,1,94,Pune,Offline,Cash,New,10,30
26-01-2026,19:31:52,Sneakers,Fashion,4299,1,3691,Hyderabad,Offline,Card,New,608,1333
26-01-2026,21:50:59,Backpack,Accessories,525,5,2242,Bangalore,Online,UPI,Returning,383,481
26-01-2026,13:36:52,Headphones,Electronics,40180,3,105240,Hyderabad,Online,Card,New,15300,27442
26-01-2026,20:42:30,Biryani,Food,458,3,1371,Delhi,Online,Cash,Returning,3,506
26-01-2026,20:50:54,Oil,Grocery,896,3,2368,Mumbai,Offline,UPI,New,320,634
26-01-2026,19:41:53,Backpack,Accessories,1815,2,3192,Hyderabad,Online,Card,Returning,438,668
26-01-2026,20:00:06,Burger,Food,197,5,933,Hyderabad,Offline,Cash,New,52,288
27-01-2026,13:37:15,T-shirt,Fashion,644,4,2355,Mumbai,Offline,Cash,Returning,221,742
27-01-2026,13:04:58,TV,Electronics,64481,4,217923,Hyderabad,Offline,Cash,Returning,40001,58795
27-01-2026,12:48:00,Rice,Grocery,895,3,2680,Hyderabad,Offline,Card,Returning,5,659
27-01-2026,13:10:04,Sandwich,Food,246,5,1140,Mumbai,Offline,Card,New,90,264
